ID,DataP,DataA,Prezzo,Intercontinentale,IATAP,IATAA
VY3053,16/08/2023,16/08/2023,1276.79,False,YYZ,MUC
PC1626,6/4/2024,6/4/2024,111.47,True,ORY,FRA
PC426,17/10/2024,17/10/2024,1062.03,True,HAM,YVR
EK8178,9/3/2024,9/3/2024,457.97,False,AMD,BHX
FR1410,2/3/2023,2/3/2023,554.17,False,MAD,DFW
TK3207,12/9/2024,12/9/2024,642.81,False,OPO,BRU
OS189,25/03/2025,25/03/2025,348.55,True,FRA,MAN
BA2614,10/6/2024,10/6/2024,723.33,False,VCE,LED
AY3053,15/05/2023,15/05/2023,943.6,False,JFK,ORY
AZ1850,28/03/2025,28/03/2025,1164.69,True,LHR,DOH
SN9083,22/11/2024,22/11/2024,114.96,False,LIM,MAN
EW2156,16/04/2024,16/04/2024,558.53,True,TXL,ESB
W69861,31/05/2024,31/05/2024,295.81,True,DOH,ARN
AY758,23/10/2023,23/10/2023,460.41,True,FCO,JFK
LO5100,16/02/2023,16/02/2023,1232.92,False,MRS,LIS
AF9438,14/12/2024,14/12/2024,882.63,True,PSA,ESB
LH2251,4/11/2024,4/11/2024,133.53,True,ATH,DUS
OS2952,28/04/2023,28/04/2023,124.28,True,SCL,FCO
LO8375,26/10/2023,26/10/2023,352.46,True,LIN,ZRH
VY9391,7/6/2024,7/6/2024,1208.67,True,DOH,WAW
AY7870,9/9/2024,9/9/2024,1191.09,False,DXB,PRG
EK7391,25/06/2024,25/06/2024,764.01,False,DUS,FCO
U26019,30/12/2023,30/12/2023,359.28,False,MEL,ESB
TK103,29/10/2023,29/10/2023,1032.23,True,DOH,FCO
QR862,13/05/2024,13/05/2024,926.13,False,BOG,VCE
VY4320,28/08/2023,28/08/2023,515.35,True,NCE,MUC
LO2379,31/03/2023,31/03/2023,1120.82,False,ORY,FCO
TK7722,8/9/2023,8/9/2023,864.48,True,SIN,BUD
EW1909,16/03/2025,16/03/2025,102.81,False,BRU,BUD
SK8032,7/1/2023,7/1/2023,1115.45,False,CPH,MAD
TK1101,1/10/2023,1/10/2023,285.55,True,FRA,SEA
PC6552,14/02/2024,14/02/2024,1220.54,False,WAW,AGP
SK1139,21/10/2023,21/10/2023,42.97,False,MXP,YYZ
TK3428,2/5/2024,2/5/2024,485.56,False,AMS,GRU
AY1139,2/3/2024,2/3/2024,1157.55,True,SAW,MRS
SK1871,31/10/2024,31/10/2024,328.76,True,WAW,SOF
OS3983,10/7/2023,10/7/2023,942.18,True,SVO,FRA
SK1988,1/7/2024,1/7/2024,821.72,True,FRA,DXB
SK6328,5/10/2023,5/10/2023,1085.52,True,AUH,LED
U24426,19/03/2023,19/03/2023,976.79,True,PMO,GRU
U29624,1/10/2023,1/10/2023,612.47,True,HAM,SVO
VY7272,18/07/2023,18/07/2023,944.13,False,HEL,EDI
AY129,15/11/2024,15/11/2024,271.17,True,NRT,MXP
IB6778,11/9/2024,11/9/2024,674.28,False,NRT,ORY
SK175,27/12/2023,27/12/2023,1186.28,False,ARN,YYZ
AY164,19/02/2024,19/02/2024,1248.07,False,EZE,DOH
TK2383,14/02/2023,14/02/2023,1061.28,False,DFW,WAW
IB4631,8/2/2024,8/2/2024,1227.36,True,EZE,BOS
AZ6563,21/06/2023,21/06/2023,718.07,True,OSL,DXB
LH1472,3/6/2023,3/6/2023,1164.27,False,PMO,PRG
AY1471,29/11/2024,29/11/2024,353.13,False,SIN,SYD
AF8320,22/07/2024,22/07/2024,112.89,True,LIN,GRU
QR822,14/06/2023,14/06/2023,465.97,False,ORY,GRU
FR6831,16/03/2025,16/03/2025,724.19,False,FCO,ESB
LH716,27/06/2024,27/06/2024,635.29,True,EZE,DOH
W63584,24/06/2024,24/06/2024,1166.88,True,HAM,FRA
OS4740,16/08/2024,16/08/2024,984.73,False,LIS,LHR
AY7186,10/12/2024,10/12/2024,829.34,True,HAM,MAD
EK8185,12/1/2025,12/1/2025,572.77,False,MIA,ATH
IB8521,17/09/2024,17/09/2024,799.26,False,SCL,VCE
LO5747,21/06/2024,21/06/2024,822.49,True,MIA,LIM
AY3477,17/03/2023,17/03/2023,810.94,True,VIE,MXP
W69346,15/10/2023,15/10/2023,658.63,False,NAP,AMD
SK1554,9/9/2023,9/9/2023,1044.79,True,ARN,FCO
SN4329,14/03/2024,14/03/2024,257.79,False,HEL,CPH
LH8814,1/9/2024,1/9/2024,246.01,False,GVA,SOF
KL4785,26/11/2024,26/11/2024,1245.04,True,SCL,PRG
LO3177,30/01/2024,30/01/2024,724.41,False,LIN,CDG
OS4471,1/7/2024,1/7/2024,667.87,False,SOF,DFW
EW8654,16/11/2023,16/11/2023,308.56,False,SCL,BOG
BA1757,25/09/2024,25/09/2024,562.57,True,LAX,MAN
VY3889,7/10/2023,7/10/2023,56.79,True,EZE,ORY
QR7719,26/08/2024,26/08/2024,307.88,True,OPO,HAM
IB3826,15/04/2023,15/04/2023,447.24,True,STN,JFK
SK5424,20/07/2024,20/07/2024,905.47,True,ATH,MAN
LO7088,8/2/2023,8/2/2023,1112.37,True,AUH,PRG
TK7632,5/12/2024,5/12/2024,747.59,True,BRU,VCE
U2903,11/10/2023,11/10/2023,51.35,False,NRT,GVA
AZ2718,30/04/2024,30/04/2024,786.66,True,HKG,ATH
AZ1888,26/08/2024,26/08/2024,379.43,False,ESB,CTA
AF3129,14/02/2025,14/02/2025,633.59,True,SVO,MIA
TK4701,3/11/2023,3/11/2023,505.95,True,BUD,DFW
AZ1340,4/9/2023,4/9/2023,1121.92,True,OPO,LIN
LH3437,8/9/2024,8/9/2024,591.3,True,ARN,ZRH
IB5664,26/03/2025,26/03/2025,557.42,False,BOG,AGP
IB7882,14/03/2025,14/03/2025,1238.74,False,BCN,ESB
FR318,17/10/2023,17/10/2023,704.54,False,PMO,BCN
TK4414,31/05/2023,31/05/2023,1136.39,False,ICN,SYD
EK4801,5/8/2024,5/8/2024,624.75,False,PEK,DUS
FR7568,23/11/2024,23/11/2024,1246.43,False,VCE,OPO
W68777,1/4/2024,1/4/2024,1146.58,False,NAP,DXB
AZ1754,10/1/2024,10/1/2024,1069.8,False,CMB,LIS
SK8870,13/08/2023,13/08/2023,874.05,False,DFW,HAM
VY8583,3/6/2023,3/6/2023,1229.55,True,MIA,AUH
AF6161,20/12/2023,20/12/2023,1037.91,True,SYD,DFW
OS4855,6/1/2023,6/1/2023,107.2,True,ICN,LAX
SN1252,19/07/2024,19/07/2024,332.46,False,DXB,MAN
VY5606,29/11/2024,29/11/2024,1273.65,False,WAW,MAD
KL3687,27/03/2024,27/03/2024,193.04,True,DUB,CDG
IB1086,19/12/2023,19/12/2023,327.79,False,BRU,DFW
U22154,2/3/2025,2/3/2025,938.83,True,FRA,BCN
W67803,4/1/2025,4/1/2025,175.72,False,MEL,BRU
LH5192,7/9/2024,7/9/2024,814.75,True,LIN,AMS
IB7600,14/11/2024,14/11/2024,32.83,True,MUC,AMD
U25020,10/3/2024,10/3/2024,868.79,False,TXL,MAN
KL9209,23/12/2024,23/12/2024,272,True,LHR,ORY
VY4781,24/05/2024,24/05/2024,1145.61,True,IAH,NAP
W64315,11/2/2023,11/2/2023,1228.65,False,LHR,BOG
U2726,29/04/2023,29/04/2023,79.72,False,PMO,LAX
IB2969,5/1/2024,5/1/2024,566.31,True,IAH,NAP
PC9548,9/6/2023,9/6/2023,243.25,False,CMB,HKG
AZ596,4/10/2023,4/10/2023,376.17,True,LIN,ORY
FR2763,27/12/2024,27/12/2024,277.46,False,ARN,VCE
W6988,1/5/2023,1/5/2023,64.29,False,DUB,BOS
LO3126,6/3/2024,6/3/2024,794.9,False,ZRH,SAW
EK3941,19/01/2023,19/01/2023,1135.89,True,MXP,ATH
IB1977,2/3/2025,2/3/2025,487.89,False,ORY,LIN
AF132,11/1/2025,11/1/2025,736.86,True,STN,DUB
AZ7157,14/01/2024,14/01/2024,202.26,False,MAD,IST
SK8935,16/12/2023,16/12/2023,603.24,True,SYD,DOH
BA1153,26/01/2025,26/01/2025,1044.54,True,MEL,HAM
KL9755,15/06/2023,15/06/2023,309.47,True,DFW,SCL
SK8016,25/08/2023,25/08/2023,783.32,True,YVR,MUC
TK2747,29/08/2024,29/08/2024,1036.94,False,DXB,NCE
AY5694,16/02/2024,16/02/2024,69.97,True,OSL,ARN
QR7602,12/6/2024,12/6/2024,1089.42,False,BLQ,ZRH
LO7134,23/07/2024,23/07/2024,434.28,True,PSA,SIN
KL6211,14/03/2024,14/03/2024,597.41,True,LED,EZE
AZ5214,14/11/2024,14/11/2024,1218.87,False,DOH,ZRH
EW7017,21/09/2024,21/09/2024,515.04,True,MRS,HAM
U24401,21/08/2023,21/08/2023,673.03,True,MUC,VLC
EK187,19/03/2024,19/03/2024,840.48,True,NRT,DOH
IB2198,8/9/2024,8/9/2024,954.99,True,LIS,DFW
U29847,17/07/2024,17/07/2024,1020.76,True,NAP,BHX
BA1189,20/08/2023,20/08/2023,852.17,True,DXB,BRU
AZ9905,3/2/2023,3/2/2023,1111.59,True,PSA,AMS
AY566,15/11/2024,15/11/2024,1293.19,False,VIE,BRU
W67856,29/12/2024,29/12/2024,294.47,False,IAH,TXL
VY8992,20/04/2023,20/04/2023,225.43,True,HAM,ESB
TK1829,24/03/2024,24/03/2024,783.93,True,FCO,NCE
IB7754,7/8/2023,7/8/2023,820.16,False,SYD,OPO
EK1604,20/03/2024,20/03/2024,530.94,False,CTA,SYD
VY5597,21/06/2023,21/06/2023,317.43,True,SOF,ORY
PC9423,7/7/2023,7/7/2023,1079.9,True,SCL,ORD
LO2862,20/11/2023,20/11/2023,444.89,False,DXB,DFW
W69483,16/05/2023,16/05/2023,1118.48,False,BGY,MEL
LO353,11/12/2024,11/12/2024,546.89,True,CTA,ORD
EK159,30/12/2023,30/12/2023,976.83,False,GVA,MEL
AF1666,21/01/2023,21/01/2023,1279.22,False,LHR,MEL
VY7544,3/3/2025,3/3/2025,491.18,False,GVA,ORY
KL1114,11/7/2024,11/7/2024,159.06,True,BCN,EZE
IB1383,23/10/2023,23/10/2023,207.87,True,MUC,SEA
TK6959,9/12/2024,9/12/2024,1144.32,False,BUD,ORY
U28596,28/12/2023,28/12/2023,573.47,True,ESB,SAW
LO1765,7/8/2023,7/8/2023,489.98,False,SCL,LED
VY3141,11/5/2024,11/5/2024,450.57,True,BUD,SVO
AY2657,15/01/2023,15/01/2023,516.44,True,LIM,BLQ
PC4489,20/11/2024,20/11/2024,982.52,False,ESB,SCL
KL5479,30/06/2023,30/06/2023,712.32,False,ARN,YYZ
VY357,6/1/2023,6/1/2023,755.28,False,LGW,NAP
SN1025,6/2/2024,6/2/2024,837,False,ORY,DUS
QR1137,27/05/2023,27/05/2023,1277.56,False,CDG,PRG
VY4662,18/06/2023,18/06/2023,604.86,False,ORY,AMS
BA5881,3/5/2023,3/5/2023,147.2,False,SAW,ESB
AF1312,16/12/2023,16/12/2023,641.73,False,GRU,BOS
FR5896,27/01/2024,27/01/2024,880.33,False,BGY,JFK
AY7846,21/08/2024,21/08/2024,1253.51,True,OSL,IST
PC2932,28/01/2025,28/01/2025,189.93,True,VLC,BGY
LH5561,20/08/2023,20/08/2023,841.52,False,BUD,LIM
AZ9815,7/11/2024,7/11/2024,110.46,False,PSA,VLC
LH1259,31/01/2025,31/01/2025,471.61,False,JFK,LED
FR3406,5/8/2023,5/8/2023,609.39,True,GVA,VIE
FR2059,5/3/2025,5/3/2025,1058.9,False,ZRH,IAH
KL8149,18/09/2023,18/09/2023,795.34,False,BLQ,MRS
LH3463,1/3/2025,1/3/2025,43.23,True,BRU,LIN
AZ7214,26/12/2023,26/12/2023,481.41,True,SEA,HAM
SK7474,25/02/2023,25/02/2023,1130.68,True,GVA,WAW
QR9275,27/01/2025,27/01/2025,835.26,False,AMD,AUH
IB4042,8/10/2024,8/10/2024,466.47,True,AGP,MEL
VY6526,11/9/2023,11/9/2023,660.23,True,DUS,GVA
IB3819,12/9/2024,12/9/2024,55.93,False,AGP,YYZ
W65687,20/09/2023,20/09/2023,271.49,False,BCN,CDG
EW7620,21/06/2023,21/06/2023,143.62,False,SVO,SIN
EW9278,1/9/2023,1/9/2023,897.61,False,AUH,PRG
LO1502,22/08/2024,22/08/2024,1270.88,False,VCE,SCL
AY2775,3/11/2024,3/11/2024,1097.05,False,SEA,SIN
QR4691,27/07/2024,27/07/2024,690.73,False,NAP,BGY
W64782,11/3/2023,11/3/2023,704.82,False,SCL,GVA
PC2245,12/4/2023,12/4/2023,404.81,True,PSA,NCE
PC9588,19/11/2024,19/11/2024,1195.63,False,HAM,ORD
KL925,12/11/2023,12/11/2023,1096.64,False,VCE,ZRH
FR1380,23/08/2024,23/08/2024,480.1,False,PEK,OPO
AZ8813,4/4/2024,4/4/2024,560.79,True,DOH,SAW
AZ6527,15/11/2023,15/11/2023,262.49,True,BLQ,BOG
W63496,10/3/2024,10/3/2024,410.15,True,HEL,VCE
EW5366,23/02/2023,23/02/2023,209.66,True,BUD,BCN
TK3835,25/11/2024,25/11/2024,1012.84,False,VCE,YVR
OS4177,10/2/2024,10/2/2024,1035.47,False,BRU,AMD
LO9043,13/02/2025,13/02/2025,986.61,True,BOG,CTA
TK6778,9/9/2023,9/9/2023,429.12,False,HAM,CTA
EK3950,25/11/2024,25/11/2024,267.68,True,NAP,CTA
W62554,22/04/2023,22/04/2023,671.09,False,VLC,DOH
TK9258,19/09/2023,19/09/2023,121.86,False,NCE,AMD
AZ4533,24/04/2024,24/04/2024,1246.81,False,VCE,MXP
TK6753,21/07/2024,21/07/2024,124.6,True,HKG,SCL
LO7513,25/10/2024,25/10/2024,1059.09,True,BLQ,EZE
SK9358,7/5/2023,7/5/2023,109.7,False,HKG,DUB
AZ1458,10/2/2025,10/2/2025,702.38,True,SAW,SCL
OS6794,24/04/2023,24/04/2023,385.51,True,MAD,BOG
FR7585,1/1/2023,1/1/2023,134.08,True,PSA,FRA
SK7134,24/11/2024,24/11/2024,587.61,True,ORY,PEK
TK9340,19/04/2024,19/04/2024,406.05,False,AMD,VLC
LH9764,21/09/2024,21/09/2024,603.24,True,SCL,AMS
LO1447,23/09/2023,23/09/2023,34.75,False,ORY,VIE
EK5465,26/11/2023,26/11/2023,1256.57,True,MIA,FCO
LO3714,17/08/2024,17/08/2024,1267.32,True,SCL,BRU
KL2010,13/01/2024,13/01/2024,436.74,True,ARN,OPO
EK7278,3/8/2024,3/8/2024,626.17,False,HEL,YVR
EW5670,9/4/2024,9/4/2024,766.33,True,LIN,MAD
AY9430,13/01/2025,13/01/2025,588.77,False,HKG,EZE
LH5434,8/11/2024,8/11/2024,608.6,True,DOH,ORY
QR9427,22/02/2024,22/02/2024,184.26,True,ATH,MAD
W62489,28/02/2023,28/02/2023,834.13,False,HEL,NCE
KL2246,8/9/2024,8/9/2024,1263.54,True,OSL,ARN
LO7041,1/4/2024,1/4/2024,509.9,True,LHR,DUS
W61812,2/10/2024,2/10/2024,431.68,True,EZE,SOF
VY7438,29/10/2024,29/10/2024,533.93,True,MAN,BHX
EK1261,3/10/2024,3/10/2024,1181.82,False,GRU,FCO
KL6597,18/07/2024,18/07/2024,299.59,False,SVO,AMD
KL4767,13/05/2024,13/05/2024,1004.9,False,MUC,ATH
FR3833,23/09/2023,23/09/2023,169.8,True,TXL,STN
TK4280,29/05/2023,29/05/2023,1177.66,True,SVO,PSA
IB7436,25/01/2025,25/01/2025,466.97,True,MUC,IST
FR1144,21/03/2024,21/03/2024,154.78,True,ZRH,EZE
LO171,15/06/2024,15/06/2024,569.79,True,BCN,PSA
BA2053,26/01/2023,26/01/2023,114.17,True,ICN,MAD
OS5311,4/3/2025,4/3/2025,589.38,True,EDI,ZRH
OS899,10/8/2024,10/8/2024,803.93,False,VLC,MAN
SN7366,5/8/2023,5/8/2023,909.56,True,DOH,MXP
AY3714,6/9/2023,6/9/2023,775.07,True,CMB,BHX
SK5136,17/06/2024,17/06/2024,275.06,False,BOG,ICN
BA6899,30/01/2023,30/01/2023,656,True,WAW,BOG
SN9882,1/3/2025,1/3/2025,536.2,False,LGW,MEL
EW3475,29/01/2024,29/01/2024,390.37,False,BOG,GRU
AY6397,3/8/2023,3/8/2023,528.21,True,NCE,PRG
W63041,20/06/2024,20/06/2024,574.43,True,BRU,OSL
AZ2041,29/04/2024,29/04/2024,324.53,False,BRU,ORD
SN6356,2/1/2023,2/1/2023,264.29,True,SOF,BRU
U27591,5/12/2024,5/12/2024,977.53,True,SOF,ATH
FR3956,31/07/2024,31/07/2024,702.39,True,BCN,SVO
EK3860,29/08/2023,29/08/2023,318.01,True,MAD,LIS
BA2707,1/1/2023,1/1/2023,560.72,False,BOS,GRU
AY4020,11/2/2024,11/2/2024,959.16,True,OSL,ESB
VY197,23/08/2024,23/08/2024,1185.14,True,LGW,SYD
SK9558,21/05/2024,21/05/2024,56.45,False,GRU,DUB
SK4394,16/05/2023,16/05/2023,970.23,False,YYZ,ATH
BA356,15/07/2024,15/07/2024,1114.69,False,BGY,CTA
SK6352,13/01/2025,13/01/2025,905.57,True,SOF,OPO
AF6604,10/2/2024,10/2/2024,744.9,True,HAM,AGP
PC9331,15/11/2023,15/11/2023,1246.44,False,JFK,NRT
TK5793,11/1/2025,11/1/2025,704.44,True,ZRH,HEL
FR7681,27/11/2024,27/11/2024,526.19,True,FRA,ZRH
W62708,2/8/2023,2/8/2023,701.78,False,DFW,LIS
OS1955,13/08/2023,13/08/2023,597.77,True,AMD,BOS
LH3617,21/02/2023,21/02/2023,712.62,True,ORY,FCO
AF6318,9/8/2023,9/8/2023,1160.87,True,BOG,FCO
EW1416,31/01/2023,31/01/2023,189.3,False,LED,SOF
QR7302,12/11/2023,12/11/2023,1079.22,True,BOS,DUS
KL1319,15/05/2024,15/05/2024,51.39,False,EDI,ESB
KL5772,2/3/2023,2/3/2023,633.04,False,DXB,TXL
LH9835,10/5/2024,10/5/2024,1188.96,False,ICN,HAM
IB800,20/08/2023,20/08/2023,1221.47,False,ZRH,PMO
IB6986,9/3/2024,9/3/2024,1286.62,True,LGW,BHX
U23355,17/02/2023,17/02/2023,875.25,False,YYZ,MUC
PC5449,18/01/2023,18/01/2023,869.36,True,JFK,SVO
BA5224,9/4/2023,9/4/2023,1018.03,False,AUH,CPH
PC8766,26/07/2023,26/07/2023,460.78,False,MXP,CDG
W61555,10/2/2025,10/2/2025,1098.38,True,BHX,ATH
AZ2000,6/10/2024,6/10/2024,652.91,False,CPH,LAX
LH950,24/09/2024,24/09/2024,271.74,False,ESB,BRU
QR1513,31/12/2023,31/12/2023,547.74,True,LIN,SCL
EK1042,16/12/2023,16/12/2023,93.07,True,AGP,LIS
FR6821,9/3/2025,9/3/2025,895.17,True,BUD,CTA
OS2167,16/10/2023,16/10/2023,493.13,True,LED,ATH
VY7725,24/04/2023,24/04/2023,957.85,True,HKG,VCE
SN2966,2/1/2024,2/1/2024,633.03,False,MRS,YYZ
BA8686,23/06/2023,23/06/2023,610.99,False,SIN,IST
FR7741,16/09/2024,16/09/2024,365.34,False,IST,DUB
AZ4521,1/3/2023,1/3/2023,567.8,False,LIN,MIA
BA3556,31/10/2024,31/10/2024,57.8,False,LIM,SOF
TK6373,8/9/2024,8/9/2024,245.55,False,GVA,LIN
LH1974,19/02/2023,19/02/2023,446.34,True,PSA,CDG
SK3623,29/12/2024,29/12/2024,1146.67,False,ORD,AMD
SN8641,6/3/2024,6/3/2024,320.08,False,FCO,ORY
AZ8398,11/2/2025,11/2/2025,1137.3,False,HKG,BOS
U25690,6/7/2023,6/7/2023,834.05,False,HAM,BLQ
AZ1947,28/12/2024,28/12/2024,853.55,False,BRU,PSA
W65578,17/06/2024,17/06/2024,1047.04,True,MEL,CMB
EW1331,9/4/2023,9/4/2023,761.35,True,NCE,DFW
SK7713,11/10/2023,11/10/2023,1259.31,True,LIM,IST
EW7262,7/6/2024,7/6/2024,787.7,False,YVR,BHX
PC3349,9/7/2024,9/7/2024,381.91,False,DFW,PEK
LH3532,11/9/2023,11/9/2023,114.14,False,VCE,STN
SK4470,30/05/2024,30/05/2024,508.57,False,FCO,CMB
AF7541,30/11/2024,30/11/2024,364.45,False,MIA,SEA
AZ8044,4/1/2025,4/1/2025,1041.67,False,SAW,MAN
EW5162,25/02/2023,25/02/2023,1136.7,True,LED,YYZ
AF191,17/06/2024,17/06/2024,747.75,True,ESB,MRS
KL8480,28/10/2024,28/10/2024,566,True,AUH,BOG
KL9211,29/05/2023,29/05/2023,845.73,False,AGP,NAP
EK1079,10/11/2023,10/11/2023,227.22,True,YVR,VLC
VY2949,25/08/2024,25/08/2024,1071.19,False,BOG,VCE
AY2088,27/04/2023,27/04/2023,1035.91,True,ORD,BLQ
SK3919,11/1/2024,11/1/2024,665.54,True,FRA,IST
KL5956,19/12/2023,19/12/2023,440.31,False,BLQ,MRS
VY837,20/03/2024,20/03/2024,990.72,True,IST,BHX
BA8289,12/10/2024,12/10/2024,788.62,True,PSA,JFK
AY6414,27/04/2024,27/04/2024,840.12,True,YYZ,EDI
W69836,9/7/2023,9/7/2023,1043.93,True,LGW,DXB
AY5336,17/12/2023,17/12/2023,643.32,False,SIN,MAD
KL9999,22/03/2025,22/03/2025,1131.8,True,LIM,PEK
LH2942,24/06/2024,24/06/2024,1247.97,True,LIM,EZE
AY9250,27/07/2024,27/07/2024,1217.45,True,BUD,DUB
W66084,9/3/2025,9/3/2025,762.74,False,LAX,MIA
QR2022,17/05/2023,17/05/2023,1059.13,True,LIN,HEL
