ID,Peso,Entità,Fragile,Descrizione,IDPrenotazione,IDAssicurazione
95,7.5,a mano,True,Borsone compatto,67,1
96,7.5,a mano,False,Borsa a tracolla,177,3
97,25.0,stiva,False,Valigia media morbida,60,8
98,18.5,stiva,False,Valigia media morbida,136,4
99,8.0,a mano,False,Ventiquattrore,173,6
100,9.5,a mano,True,Borsa a tracolla,112,2
101,18.5,stiva,True,Valigia grande rigida,198,8
102,9.5,a mano,True,Ventiquattrore,47,2
103,23.0,stiva,False,Pacco imballato,42,2
104,5.0,a mano,False,Trolley piccolo,38,2
105,8.0,a mano,True,Zaino da trekking piccolo,10,7
106,23.0,stiva,True,Attrezzatura sportiva,49,6
107,8.0,a mano,False,Zaino da trekking piccolo,159,7
108,15.0,stiva,True,Trolley grande,119,5
109,30.0,stiva,True,Valigia grande rigida,177,5
110,32.0,stiva,True,Valigia da stiva classica,7,8
111,10.0,a mano,False,Custodia per strumenti musicali piccolo,38,9
112,25.0,stiva,True,Attrezzatura sportiva,174,3
113,22.5,stiva,False,Borsone da viaggio grande,190,1
114,22.5,stiva,False,Pacco imballato,180,5
115,10.0,a mano,True,Borsone compatto,52,10
116,5.0,a mano,False,Borsone compatto,36,5
117,10.0,a mano,True,Ventiquattrore,91,1
118,10.0,a mano,False,Zaino porta PC,197,7
119,25.0,stiva,True,Valigia grande rigida,23,3
120,8.0,a mano,True,Zaino porta PC,46,9
121,20.0,stiva,False,Borsone da viaggio grande,178,5
122,25.0,stiva,False,Valigia da stiva classica,166,8
123,8.0,a mano,True,Trolley piccolo,40,3
124,8.0,a mano,False,Zaino porta PC,52,10
125,23.0,stiva,True,Pacco imballato,189,8
126,9.5,a mano,False,Zaino da trekking piccolo,149,3
127,22.5,stiva,True,Pacco imballato,164,3
128,10.0,a mano,False,Zaino porta PC,118,10
129,10.0,a mano,False,Trolley piccolo,15,6
130,8.0,a mano,False,Borsone compatto,110,2
131,5.0,a mano,False,Zaino porta PC,181,1
132,9.5,a mano,False,Zaino da trekking piccolo,191,7
133,11.0,a mano,False,Ventiquattrore,28,3
134,5.0,a mano,False,Trolley piccolo,108,1
135,9.5,a mano,True,Trolley piccolo,174,8
136,25.0,stiva,False,Attrezzatura sportiva,62,6
137,6.0,a mano,False,Custodia per strumenti musicali piccolo,1,6
138,8.0,a mano,False,Custodia per strumenti musicali piccolo,95,1
139,18.5,stiva,False,Valigia da stiva classica,184,8
140,20.0,stiva,False,Valigia grande rigida,185,8
141,32.0,stiva,False,Valigia grande rigida,19,9
142,5.0,a mano,True,Borsa a tracolla,200,1
143,28.0,stiva,False,Attrezzatura sportiva,5,10
144,10.0,a mano,False,Trolley piccolo,12,10
145,7.5,a mano,False,Custodia per strumenti musicali piccolo,71,3
146,5.0,a mano,True,Borsa a tracolla,193,8
147,32.0,stiva,True,Pacco imballato,70,3
148,20.0,stiva,False,Valigia media morbida,100,9
149,32.0,stiva,False,Valigia grande rigida,81,5
150,25.0,stiva,False,Trolley grande,18,8
151,20.0,stiva,True,Valigia da stiva classica,11,10
152,11.0,a mano,False,Trolley piccolo,193,6
153,30.0,stiva,False,Trolley grande,117,3
154,10.0,a mano,False,Zaino da trekking piccolo,82,5
155,5.0,a mano,False,Zaino da trekking piccolo,100,7
156,7.5,a mano,True,Zaino da trekking piccolo,144,3
157,15.0,stiva,True,Borsone da viaggio grande,156,9
158,30.0,stiva,True,Borsone da viaggio grande,25,7
159,30.0,stiva,True,Valigia grande rigida,48,9
160,11.0,a mano,False,Trolley piccolo,123,5
161,32.0,stiva,True,Valigia grande rigida,190,2
162,20.0,stiva,False,Borsone da viaggio grande,110,2
163,9.5,a mano,True,Trolley piccolo,197,7
164,8.0,a mano,False,Ventiquattrore,10,9
165,30.0,stiva,False,Attrezzatura sportiva,105,9
166,30.0,stiva,False,Valigia da stiva classica,133,10
167,18.5,stiva,False,Trolley grande,155,9
168,18.5,stiva,True,Trolley grande,72,4
169,9.5,a mano,True,Borsa a tracolla,113,6
170,5.0,a mano,False,Borsone compatto,184,4
171,20.0,stiva,False,Pacco imballato,162,8
172,8.0,a mano,False,Zaino da trekking piccolo,78,8
173,7.5,a mano,True,Borsone compatto,165,2
174,9.5,a mano,False,Ventiquattrore,32,5
175,22.5,stiva,False,Valigia grande rigida,163,5
176,8.0,a mano,False,Borsone compatto,56,8
177,20.0,stiva,False,Valigia grande rigida,169,6
178,23.0,stiva,False,Pacco imballato,53,5
179,5.0,a mano,False,Borsa a tracolla,81,10
180,6.0,a mano,True,Zaino porta PC,101,10
181,6.0,a mano,False,Zaino porta PC,4,1
182,7.5,a mano,False,Borsa a tracolla,77,8
183,32.0,stiva,False,Valigia da stiva classica,102,5
184,18.5,stiva,True,Valigia media morbida,39,4
185,25.0,stiva,False,Attrezzatura sportiva,67,10
186,6.0,a mano,False,Borsa a tracolla,175,5
187,20.0,stiva,False,Pacco imballato,181,8
188,5.0,a mano,False,Zaino porta PC,46,8
189,23.0,stiva,False,Pacco imballato,104,7
190,23.0,stiva,True,Attrezzatura sportiva,125,2
191,8.0,a mano,False,Ventiquattrore,113,6
192,30.0,stiva,True,Valigia grande rigida,29,10
193,20.0,stiva,True,Trolley grande,34,6
194,10.0,a mano,False,Ventiquattrore,89,1
195,32.0,stiva,True,Valigia da stiva classica,55,5
196,23.0,stiva,True,Trolley grande,50,8
197,8.0,a mano,True,Zaino porta PC,8,3
198,5.0,a mano,False,Borsone compatto,100,4
199,5.0,a mano,False,Ventiquattrore,156,3
200,30.0,stiva,False,Valigia da stiva classica,79,1
