ID,Data,Posto,IDPasseggero,IDVolo
102,26/07/2024,320,120,GB385
103,10/09/2024,325,85,QU3327
104,19/11/2024,151,136,PN6439
105,23/01/2024,107,129,PN3152
106,17/10/2024,157,129,RU2422
107,04/11/2024,41,180,KC5511
108,15/05/2024,160,96,DJ2436
109,16/07/2024,322,147,GJ7769
110,07/01/2024,327,161,RZ3618
111,03/06/2024,206,165,KH1267
112,09/04/2024,206,46,AO102
113,19/03/2024,208,11,II9914
114,18/08/2024,29,33,EW8321
115,27/04/2024,342,124,KL4789
116,25/08/2024,44,147,EX1782
117,03/08/2024,265,198,RW7492
118,25/12/2024,240,93,UJ790
119,10/12/2024,124,115,SP5980
120,13/10/2024,269,144,HY1172
121,13/06/2024,182,51,FV6888
122,23/02/2024,218,27,ZY6727
123,21/04/2024,236,172,XL3839
124,23/02/2024,238,66,VG4132
125,14/09/2024,182,121,CH4121
126,05/04/2024,287,23,XZ7316
127,18/03/2024,43,200,KX640
128,10/04/2024,217,61,MU5214
129,12/08/2024,297,95,PN6439
130,31/03/2024,200,138,AS510
131,23/02/2024,335,43,BW9525
132,23/07/2024,200,186,MT7935
133,13/03/2024,268,3,SD8670
134,08/05/2024,199,148,RD3062
135,16/03/2024,284,103,NJ1758
136,24/05/2024,145,45,QZ6729
137,30/05/2024,263,115,RM8748
138,27/01/2024,239,55,HK1289
139,17/06/2024,323,123,BD9138
140,27/12/2024,318,153,QV8233
141,22/10/2024,19,109,BY7735
142,17/04/2024,173,22,WM9467
143,14/03/2024,296,134,DX6939
144,19/09/2024,158,66,AI4629
145,16/06/2024,168,191,YP4452
146,15/08/2024,78,90,SQ2617
147,11/03/2024,263,162,OS5278
148,27/05/2024,271,79,DS695
149,10/11/2024,5,108,EH998
150,14/09/2024,346,192,SL8072
151,03/10/2024,206,35,QK4827
152,12/12/2024,76,71,GT6981
153,17/03/2024,269,13,EM3249
154,04/01/2024,98,47,WT4129
155,23/08/2024,107,117,WK8566
156,06/08/2024,202,146,XE3822
157,15/09/2024,22,106,UJ790
158,03/12/2024,138,42,BW9525
159,04/02/2024,118,179,GF4640
160,02/03/2024,270,124,KA949
161,07/02/2024,10,170,AS793
162,02/05/2024,25,62,XL3839
163,02/03/2024,80,44,VF9731
164,15/09/2024,82,8,QL6711
165,28/10/2024,189,49,VQ1342
166,09/06/2024,159,86,BF2588
167,15/03/2024,181,148,UY3054
168,12/07/2024,11,59,ZK7766
169,28/10/2024,80,43,AC4688
170,21/01/2024,68,178,AH5785
171,05/03/2024,299,179,ID7951
172,05/11/2024,55,106,WK8566
173,02/06/2024,343,135,YK9987
174,15/10/2024,256,110,SF1259
175,22/05/2024,217,113,WL667
176,17/09/2024,64,56,VQ1342
177,20/12/2024,196,39,PX2004
178,07/03/2024,178,152,GF4640
179,03/02/2024,340,117,QV2747
180,17/06/2024,223,43,TP4179
181,12/07/2024,151,97,RU2422
182,25/05/2024,230,54,HU2926
183,12/01/2024,283,61,QZ6729
184,17/05/2024,207,75,SL8184
185,21/06/2024,216,55,WK8566
186,05/12/2024,15,58,OU7811
187,24/11/2024,195,199,PM6010
188,01/01/2024,350,149,MO4361
189,19/11/2024,90,184,JF9265
190,31/03/2024,43,89,EM3249
191,29/02/2024,14,124,EC5316
192,15/10/2024,213,80,TC4135
193,07/04/2024,268,164,OU7811
194,05/07/2024,256,151,RH6456
195,24/08/2024,297,41,MB116
196,01/12/2024,313,67,KN2238
197,30/09/2024,255,14,YQ3753
198,12/03/2024,177,144,VC1243
199,23/08/2024,272,116,WK8566
200,18/12/2024,306,98,AH5785
